station_id,station,lines,local_authority,fare_zone,opened_on,annual_usage,area_served,url
106,Hendon Central,N,Barnet,34,19 Nov 1923,4.94,Hendon,https://www.google.com/maps?q=Hendon+Central+Underground+station
107,High Barnet,N,Barnet,5,14 Apr 1940,3.17,Chipping Barnet,https://www.google.com/maps?q=High+Barnet+Underground+station
108,Highbury & Islington,V,Islington,2,1 Sep 1968,13.76,Highbury,https://www.google.com/maps?q=Highbury+&+Islington+Underground+station
109,Highgate,N,Haringey,3,19 Jan 1941,4.24,Highgate,https://www.google.com/maps?q=Highgate+Underground+station
110,High Street Kensington,OD,Kensington and Chelsea,1,1 Oct 1868,8.54,Kensington,https://www.google.com/maps?q=High+Street+Kensington+Underground+station
111,Hillingdon,MP,Hillingdon,6,10 Dec 1923,1.33,Hillingdon,https://www.google.com/maps?q=Hillingdon+Underground+station
112,Holborn,CP,Camden,1,15 Dec 1906,21.06,Holborn,https://www.google.com/maps?q=Holborn+Underground+station
113,Holland Park,C,Kensington and Chelsea,2,30 Jul 1900,2.65,Holland Park,https://www.google.com/maps?q=Holland+Park+Underground+station
114,Holloway Road,P,Islington,2,15 Dec 1906,5.23,Holloway,https://www.google.com/maps?q=Holloway+Road+Underground+station
115,Hornchurch,D,Havering,6,2 Jun 1902,1.47,Hornchurch,https://www.google.com/maps?q=Hornchurch+Underground+station
116,Hounslow Central,P,Hounslow,4,1 Apr 1886,2.88,Hounslow,https://www.google.com/maps?q=Hounslow+Central+Underground+station
117,Hounslow East,P,Hounslow,4,2 May 1909,3.22,Hounslow,https://www.google.com/maps?q=Hounslow+East+Underground+station
118,Hounslow West,P,Hounslow,5,21 Jul 1884,2.88,Hounslow,https://www.google.com/maps?q=Hounslow+West+Underground+station
119,Hyde Park Corner,P,City of Westminster,1,15 Dec 1906,4.74,Knightsbridge,https://www.google.com/maps?q=Hyde+Park+Corner+Underground+station
120,Ickenham,MP,Hillingdon,6,25 Sep 1905,0.82,Ickenham,https://www.google.com/maps?q=Ickenham+Underground+station
121,Kennington,N,Southwark,12,18 Dec 1890,4.41,Kennington,https://www.google.com/maps?q=Kennington+Underground+station
122,Kensal Green,B,Brent,2,1 Oct 1916,1.81,Kensal Green,https://www.google.com/maps?q=Kensal+Green+Underground+station
123,Kensington (Olympia),D,Kensington and Chelsea,2,1 Jul 1864,2.1,Kensington,https://www.google.com/maps?q=Kensington+(Olympia)+Underground+station
124,Kentish Town,N,Camden,2,22 Jun 1907,6.3,Kentish Town,https://www.google.com/maps?q=Kentish+Town+Underground+station
125,Kenton,B,Brent Harrow,4,16 Apr 1917,1.52,Kenton,https://www.google.com/maps?q=Kenton+Underground+station
126,Kew Gardens,D,Richmond,34,1 Jun 1877,3.97,Kew,https://www.google.com/maps?q=Kew+Gardens+Underground+station
127,Kilburn,J,Brent,2,24 Nov 1879,5.52,Kilburn,https://www.google.com/maps?q=Kilburn+Underground+station
128,Kilburn Park,B,Brent,2,31 Jan 1915,2.43,Kilburn,https://www.google.com/maps?q=Kilburn+Park+Underground+station
129,Kingsbury,J,Brent,4,10 Dec 1932,3.37,Kingsbury,https://www.google.com/maps?q=Kingsbury+Underground+station
130,King's Cross St Pancras,OHMNPV,Camden,1,10 Jan 1863,69.94,King's Cross,https://www.google.com/maps?q=King's+Cross+St+Pancras+Underground+station
131,Knightsbridge,P,Kensington and Chelsea,1,15 Dec 1906,13.27,Knightsbridge,https://www.google.com/maps?q=Knightsbridge+Underground+station
132,Ladbroke Grove,OH,Kensington and Chelsea,2,13 Jun 1864,5.1,Ladbroke Grove,https://www.google.com/maps?q=Ladbroke+Grove+Underground+station
133,Lambeth North,B,Lambeth,1,10 Mar 1906,2.57,Lambeth,https://www.google.com/maps?q=Lambeth+North+Underground+station
134,Lancaster Gate,C,City of Westminster,1,30 Jul 1900,3.65,Paddington,https://www.google.com/maps?q=Lancaster+Gate+Underground+station
135,Latimer Road,OH,Kensington and Chelsea,2,16 Dec 1868,3.65,North Kensington,https://www.google.com/maps?q=Latimer+Road+Underground+station
136,Leicester Square,NP,City of Westminster,1,15 Dec 1906,29.39,West End,https://www.google.com/maps?q=Leicester+Square+Underground+station
138,Leytonstone,C,Waltham Forest,34,5 May 1947,6.7,Leytonstone,https://www.google.com/maps?q=Leytonstone+Underground+station
139,Liverpool Street,COHM,City of London,1,1 Feb 1875,55.84,Bishopsgate,https://www.google.com/maps?q=Liverpool+Street+Underground+station
140,London Bridge,JN,Southwark,1,25 Feb 1900,56.2,Southwark,https://www.google.com/maps?q=London+Bridge+Underground+station
141,Loughton,C,Epping Forest,6,21 Nov 1948,2.65,Loughton,https://www.google.com/maps?q=Loughton+Underground+station
142,Maida Vale,B,City of Westminster,2,6 Jun 1915,2.5,Maida Vale,https://www.google.com/maps?q=Maida+Vale+Underground+station
143,Manor House,P,HackneyHaringey,23,19 Sep 1932,6.02,Manor House,https://www.google.com/maps?q=Manor+House+Underground+station
144,Mansion House,OD,City of London,1,3 Jul 1871,4.14,Castle Baynard,https://www.google.com/maps?q=Mansion+House+Underground+station
145,Marble Arch,C,City of Westminster,1,30 Jul 1900,9.6,Marylebone,https://www.google.com/maps?q=Marble+Arch+Underground+station
146,Marylebone,B,City of Westminster,1,27 Mar 1907,8.72,Marylebone,https://www.google.com/maps?q=Marylebone+Underground+station
147,Mile End,CDH,Tower Hamlets,2,2 Jun 1902,11.36,Mile End,https://www.google.com/maps?q=Mile+End+Underground+station
